Less.severe	More.severe	Contrib.Less.severe	Contrib.More.severe	Contrib	GroupContrib	color	importance
C1orf226	-0.727280159845768	0.729593673503837	FALSE	TRUE	FALSE	More severe	#F68B33	0.662926719452217
H6PD	-0.772111898502863	0.805214048064396	FALSE	TRUE	FALSE	More severe	#F68B33	0.50429600845944
HHAT	0.768216095385848	-0.844689146092147	TRUE	FALSE	FALSE	Less severe	#388ECC	-0.335903133405145
PGD	-0.691370156367044	0.658124638746637	FALSE	TRUE	FALSE	More severe	#F68B33	0.305790784718729
ZNF527	0.701437721175538	-0.788449257728656	TRUE	FALSE	FALSE	Less severe	#388ECC	-0.263772424323855
STOM	-0.764627380865705	0.572854720956176	FALSE	TRUE	FALSE	More severe	#F68B33	0.155395596309555
GPR174	0.748606088043535	-0.771655913918628	TRUE	FALSE	FALSE	Less severe	#388ECC	-0.0784289375920756
MDGA1	0.09663226979999	0.0510446548769912	TRUE	FALSE	FALSE	Less severe	#388ECC	0.363581108134536
SSTR3	0.13549165209949	-0.0257771806336482	TRUE	FALSE	FALSE	Less severe	#388ECC	0.346606582160739
PLCH1	-0.213397096431921	0.0882678646482174	FALSE	TRUE	FALSE	More severe	#F68B33	-0.329416580091435
LOC112268354	-0.479715451926524	0.299291710676828	FALSE	TRUE	FALSE	More severe	#F68B33	0.316385983698931
EIF4ENIF1	0.22000590204287	-0.435725592506664	TRUE	FALSE	FALSE	Less severe	#388ECC	-0.295303343791275
NUDT3	0.281041886617422	-0.181379850258997	TRUE	FALSE	FALSE	Less severe	#388ECC	-0.280460234173981
FBXO45	0.275307079257817	-0.348285904645382	TRUE	FALSE	FALSE	Less severe	#388ECC	-0.280344025281451
CDK11A	-0.23620165708744	0.511402338865882	FALSE	TRUE	FALSE	More severe	#F68B33	0.273581858620583
UAP1L1	-0.0521124592073469	0.350454755114446	FALSE	TRUE	FALSE	More severe	#F68B33	0.217499691792956
LOC100130520	0.0492934865898627	-0.138284746128243	TRUE	FALSE	FALSE	Less severe	#388ECC	-0.201139710166772
SH3RF1	0.242726783826694	-0.162773480831972	TRUE	FALSE	FALSE	Less severe	#388ECC	-0.195752068253352
LOC389831	0.237752516113111	0.130265178249416	TRUE	FALSE	FALSE	Less severe	#388ECC	-0.175142244387245
VKORC1L1	-0.14992025654379	0.0275978534259567	FALSE	TRUE	FALSE	More severe	#F68B33	-0.122596178617722
NEBL	-0.316521706802405	0.294317717651575	FALSE	TRUE	FALSE	More severe	#F68B33	-0.108317946270514
NUMBL	-0.530394483773897	0.431193968448592	FALSE	TRUE	FALSE	More severe	#F68B33	0.0999268721184483
CLDN15	-0.339774742814371	0.204008373980823	FALSE	TRUE	FALSE	More severe	#F68B33	0.0737610125242727
CCDC122	-0.0432679382269541	-0.169214033877783	TRUE	FALSE	FALSE	Less severe	#388ECC	0.0686271633642202
DBN1	-0.330338580990638	0.304812895060198	FALSE	TRUE	FALSE	More severe	#F68B33	0.0535130872751874
CYFIP2	-0.0670981361500398	0.0493924981473148	FALSE	TRUE	FALSE	More severe	#F68B33	-0.0456931512568305
CABP7	-0.522721593973345	0.404739419220788	FALSE	TRUE	FALSE	More severe	#F68B33	0.0448701716794046
CD300LD	-0.197864811638099	0.0158801187239148	FALSE	TRUE	FALSE	More severe	#F68B33	-0.0426744120034649
AFDN	0.17397625957647	-0.246807573246673	TRUE	FALSE	FALSE	Less severe	#388ECC	-0.040995677721304
MSH3	0.084569068380782	0.265396609962938	FALSE	TRUE	FALSE	More severe	#F68B33	-0.0405957270883417
HGSNAT	0.120698061001657	-0.201249792666941	TRUE	FALSE	FALSE	Less severe	#388ECC	-0.0315780938681901
CTU1	-0.0453387856993591	0.081192558192455	FALSE	TRUE	FALSE	More severe	#F68B33	0.0295152000716133
ZDHHC11	-0.048727447195636	0.180060166089313	FALSE	TRUE	FALSE	More severe	#F68B33	0.025357710861861
PHKG1	-0.296070250339401	0.34962576767809	FALSE	TRUE	FALSE	More severe	#F68B33	0.0252584414588508
BMP2	-0.524664100633943	0.390015305918037	FALSE	TRUE	FALSE	More severe	#F68B33	-0.021582462458123
MGME1	0.189843821254985	-0.0777080295145399	TRUE	FALSE	FALSE	Less severe	#388ECC	-0.0169523217320516
TEX22	-0.395057964001631	0.161655793362827	FALSE	TRUE	FALSE	More severe	#F68B33	0.0091112787135768
