Less.severe	More.severe	Contrib.Less.severe	Contrib.More.severe	Contrib	GroupContrib	color	importance
H6PD	-0.772111898502863	0.805214048064396	FALSE	TRUE	FALSE	More severe	#F68B33	0.634063287591177
C1orf226	-0.727280159845768	0.729593673503837	FALSE	TRUE	FALSE	More severe	#F68B33	0.514975861020335
HHAT	0.768216095385848	-0.844689146092147	TRUE	FALSE	FALSE	Less severe	#388ECC	-0.45764584628914
ZNF527	0.701437721175538	-0.788449257728656	TRUE	FALSE	FALSE	Less severe	#388ECC	-0.19282804125148
PGD	-0.691370156367044	0.658124638746637	FALSE	TRUE	FALSE	More severe	#F68B33	0.177977401753134
GPR174	0.748606088043535	-0.771655913918628	TRUE	FALSE	FALSE	Less severe	#388ECC	-0.161375399159521
ZNF678	0.69366531330657	-0.567255150299084	TRUE	FALSE	FALSE	Less severe	#388ECC	-0.142312368151444
ALOX5AP	-0.85427881443187	0.739695824144569	FALSE	TRUE	FALSE	More severe	#F68B33	0.0850775168139877
JDP2	-0.78409831762083	0.779401029767964	FALSE	TRUE	FALSE	More severe	#F68B33	0.0283545329578145
ADGRD1	0.713861578251448	-0.676087254770333	TRUE	FALSE	FALSE	Less severe	#388ECC	-0.0113263962845045
ITGB4	-0.0970540608085015	0.0266348789690492	FALSE	TRUE	FALSE	More severe	#F68B33	0.627621907071982
PIGX	-0.0139361519815255	0.0901539387374025	FALSE	TRUE	FALSE	More severe	#F68B33	0.445111717926355
PECAM1	0.0595847713137573	-0.114114094109974	TRUE	FALSE	FALSE	Less severe	#388ECC	0.413451427243938
RUBCNL	0.399534623644884	-0.304006970191624	TRUE	FALSE	FALSE	Less severe	#388ECC	0.362894447653666
CEP43	-0.0252273551198957	-0.0840088992210578	TRUE	FALSE	FALSE	Less severe	#388ECC	0.299422682963522
HEY1	0.423144230858639	-0.369715201589829	TRUE	FALSE	FALSE	Less severe	#388ECC	0.0841883169616194
SSPN	0.530483458255619	-0.271164142923341	TRUE	FALSE	FALSE	Less severe	#388ECC	0.0801220427009221
EEPD1	0.0467506821101033	0.0548298865703833	FALSE	TRUE	FALSE	More severe	#F68B33	0.0439657965102361
SIGLEC10	-0.0534192065758232	0.206516372108501	FALSE	TRUE	FALSE	More severe	#F68B33	0.0154171568331352
